0,362
1,364
2,338
3,343
4,341
5,351
6,338
7,364
8,346
9,346
10,348
11,346
12,515
13,332
14,360
15,356
16,387
17,403
18,373
19,399
20,402
21,429
22,417
23,411
24,438
25,420
26,435
27,422
28,550
29,411
30,406
31,429
32,408
33,425
34,412
35,381
36,385
37,376
38,379
39,359
40,380
41,352
42,360
43,338
44,323
45,308
46,327
47,343
48,329
49,319
50,294
51,301
52,294
53,306
54,289
55,282
56,298
57,290
58,273
59,270
60,275
61,282
62,288
63,280
64,295
65,271
66,297
67,315
68,315
69,313
70,342
71,353
72,340
73,395
74,377
75,348
76,362
77,354
78,394
79,376
80,366
81,367
82,353
83,381
84,357
85,373
86,373
87,373
88,375
89,371
90,368
91,341
92,475
93,336
94,335
95,358
96,365
97,323
98,331
99,320
100,328
101,325
102,318
103,320
104,296
105,304
106,289
107,453
108,270
109,293
110,303
111,301
112,276
113,288
114,283
115,281
116,286
117,306
118,269
119,274
120,290
121,442
122,271
123,286
124,290
125,308
126,299
127,290
128,305
129,302
130,290
131,304
132,303
133,303
134,313
135,320
136,292
137,324
138,298
139,496
140,290
141,303
142,294
143,330
144,316
145,322
146,308
147,321
148,327
149,322
150,334
151,350
152,309
153,317
154,336
155,333
156,326
157,338
158,321
159,304
160,326
161,310
162,342
163,324
164,306
165,345
166,338
167,322
168,301
169,504
170,303
171,337
172,349
173,351
174,375
175,339
176,336
177,340
178,339
179,342
180,360
181,345
182,357
183,379
184,362
185,373
186,444
187,376
188,386
189,413
190,416
191,408
192,397
193,403
194,401
195,415
196,405
197,438
198,394
199,400
200,548
201,357
202,372
203,346
204,378
205,380
206,374
207,382
208,361
209,337
210,347
211,337
212,330
213,322
214,334
215,343
216,318
217,312
218,368
219,351
220,302
221,298
222,313
223,333
224,302
225,277
226,295
227,299
228,298
229,308
230,285
231,303
232,314
233,298
234,297
235,297
236,463
237,324
238,308
239,338
240,325
241,342
242,312
243,330
244,327
245,329
246,359
247,332
248,348
249,335
250,334
251,326
252,325
253,348
254,365
255,337
256,344
257,316
258,330
259,339
260,334
261,331
262,318
263,337
264,325
265,453
266,321
267,300
268,327
269,344
270,301
271,302
272,307
273,303
274,315
275,310
276,314
277,317
278,335
279,330
280,293
281,303
282,511
283,288
284,319
285,312
0,380
1,275
2,360
3,368
4,300
5,308
6,262
7,298
8,321
9,223
10,327
11,266
12,223
13,215
14,301
15,248
16,200
17,302
18,278
19,186
20,275
21,262
22,330
23,195
24,264
25,165
26,259
27,256
28,198
29,256
30,349
31,245
32,338
33,341
34,283
35,386
36,328
37,414
38,314
39,387
40,413
41,326
42,425
43,362
44,423
45,446
46,380
47,416
48,439
49,414
50,362
51,423
52,304
53,347
54,351
55,300
56,395
57,305
58,332
59,386
60,280
61,350
62,391
63,311
64,326
65,400
66,300
67,281
68,409
69,411
70,290
71,385
72,358
73,388
74,325
75,423
76,321
77,279
78,362
79,275
80,336
81,275
82,374
83,325
84,288
85,388
86,298
87,330
88,376
89,372
90,339
91,293
92,397
93,307
94,320
95,376
96,270
97,486
98,384
99,317
100,408
101,326
102,377
103,357
104,295
105,377
106,275
107,333
108,358
109,272
110,382
111,310
112,397
113,377
114,285
115,391
116,349
117,297
118,498
119,331
120,272
121,301
122,426
123,352
124,353
125,368
126,262
127,348
128,340
129,380
130,309
131,308
132,391
